Plan Name,Fixed / Mobile,Monthly Price,Introductory Rate?,Time Intro Applies,Price After Intro,Length of Contract,Link to Terms of Contract,Additional Fee 1,Add'l Fee Amount 1,Additional Fee 2,Add'l Fee Amount 2,Additional Fee 3,Add'l Fee Amount 3,ETF,Gvt Taxes,Bundles & Dicount link,Download,Upload,Latency,Data Included,Addt'l Data Charges,Network Policy Link,Privacy Policy Link,Customer Support Phone,Customer Support Link,UPI
Brightspeed Fiber Internet 600 Mbps,Fixed,49,No,n/a,49,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,600 Mbps,600 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR600M600M04900
Brightspeed Fiber Internet 600 Mbps,Fixed,59,No,n/a,59,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,600 Mbps,600 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR600M600M05900
Brightspeed Fiber Internet 600 Mbps,Fixed,69,No,n/a,69,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,600 Mbps,600 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR600M600M06900
Brightspeed Fiber Internet 600 Mbps,Fixed,79,No,n/a,79,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,600 Mbps,600 Mbps,5.2 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR600M600M07900
Brightspeed Fiber Internet 1 Gig,Fixed,49,No,n/a,49,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G04900
Brightspeed Fiber Internet 1 Gig,Fixed,59,No,n/a,59,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G05900
Brightspeed Fiber Internet 1 Gig,Fixed,69,No,n/a,69,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G06900
Brightspeed Fiber Internet 1 Gig,Fixed,79,No,n/a,79,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,944.5 Mbps,935.6 Mbps,3.0 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR001G001G07900
Brightspeed Fiber Internet 2 Gig,Fixed,69,No,n/a,69,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G06900
Brightspeed Fiber Internet 2 Gig,Fixed,89,No,n/a,89,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G08900
Brightspeed Fiber Internet 2 Gig,Fixed,99,No,n/a,99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G09900
Brightspeed Fiber Internet 2 Gig,Fixed,109,No,n/a,109,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,2000 Mbps,2000 Mbps,2.5 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR002G002G10900
Brightspeed Fiber Internet 100 Mbps,Fixed,29.99,No,n/a,29.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,100.0 Mbps,109.0 Mbps,7.1 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR100M100M02999
Brightspeed Fiber Internet 100 Mbps,Fixed,39.99,No,n/a,39.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,100.0 Mbps,109.0 Mbps,7.1 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR100M100M03999
Brightspeed Fiber Internet 100 Mbps,Fixed,59.99,No,n/a,59.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,100.0 Mbps,109.0 Mbps,7.1 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR100M100M05999
Brightspeed Fiber Internet 100 Mbps,Fixed,69.99,No,n/a,69.99,n/a,n/a,Modem Rental,0,Tech Installation Fee,Waived,Standard Installation Fee,0,n/a,varies,https://www.brightspeed.com/aboutus/legal/consumer/brightspeed-fiber-plan-terms-launch/,100.0 Mbps,109.0 Mbps,7.1 ms,Unlimited,n/a,https://www.brightspeed.com/aboutus/legal/consumer/internet-service-disclosure/full-version/,https://www.brightspeed.com/aboutus/legal/consumer/privacy-notice/,+1 (833) 692-7773,brightspeed.com/help,F0032802472AR100M100M06999
