unique_plan_id,provider_name,service_plan_name,tier_plan_name,connection_type,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee_descr,monthly_provider_fees,declined_auto_payment,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additional_data_increments,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
F0025646373260429SIGCALAEN,Spectrum,Internet Gig,NULL,Fixed,110.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,1045 ,40 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIGCALSEN,Spectrum,Internet Gig,NULL,Fixed,110.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,1159 ,1050 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N2YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N2YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C2YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,California Cost Recovery Charge;Optional WiFi Service;Optional Invincible WiFi,1.25;0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C2YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,California Cost Recovery Charge;Optional WiFi Service;Optional Invincible WiFi,1.25;0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N3YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,36,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N3YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,36,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C3YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,36,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,California Cost Recovery Charge;Optional WiFi Service;Optional Invincible WiFi,1.25;0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C3YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30.00,36,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,California Cost Recovery Charge;Optional WiFi Service;Optional Invincible WiFi,1.25;0.00;20.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4NATAEN,Spectrum,Internet Premier,NULL,Fixed,85.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4NATSEN,Spectrum,Internet Premier,NULL,Fixed,85.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CALAEN,Spectrum,Internet Premier,NULL,Fixed,85.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CALSEN,Spectrum,Internet Premier,NULL,Fixed,85.00,No,NULL,NULL,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N1YAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,50.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N1YSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,50.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C1YAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,50.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C1YSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,50.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4WNTAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4WNTSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4WCAAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4WCASEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4SNTAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4SNTSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4SCAAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4SCASEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CPCAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;0.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CPCSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;0.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N5WAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,60,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N5WSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,60,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C5WAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,60,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4C5WSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,30.00,60,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;California Cost Recovery Charge;Optional WiFi Service,30.00;1.25;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CPNAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional Invincible WiFi;Optional WiFi Service,30.00;0.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4CPNSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,12,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional Invincible WiFi;Optional WiFi Service,30.00;0.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260529SP2WNTAEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,572 ,23 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260529SP2WNTSEN,Spectrum,Internet Premier,NULL,Fixed,85,Yes,40.00,24,No,NULL,NULL,0.00,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5.00,0.00,https://www.spectrum.com/packages,577 ,525 ,19,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
