provider_name,service_plan_name,connection_type,unique_plan_id,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee _descr,monthly_provider_fee,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additionalDataIncrement,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
Metronet,Business Fiber Standard 50M/50M,Fixed,F0030023295C00000000316569,69.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,54.70 Mbps,54.27 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 500M/500M,Fixed,F0030023295C00000000316576,219.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.20 Mbps,510.43 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 1G/1G Internet Access,Fixed,F0030023295C00000000316580,50.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 500M/500M Internet Access,Fixed,F0030023295C00000000316608,40.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.2 Mbps,510.48 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 1G/1G,Fixed,F0030023295C00000000316612,289.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 500M/500M Internet Access,Fixed,F0030023295C00000000316613,45.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.2 Mbps,510.48 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 200M/200M Internet Access,Fixed,F0030023295C00000000316628,45.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,204.59 Mbps,204.83 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 200M/200M Internet Access,Fixed,F0030023295C00000000316643,35.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,204.59 Mbps,204.83 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 200M/200M Internet Access,Fixed,F0030023295C00000000316644,40.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,204.59 Mbps,204.83 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 200M/200M Internet Access,Fixed,F0030023295C00000000316652,100.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,204.59 Mbps,204.83 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 100M/100M Internet Access,Fixed,F0030023295C00000000316653,35.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 50M/50M,Fixed,F0030023295C00000000316655,89.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,54.70 Mbps,54.27 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 1G/1G Internet Access,Fixed,F0030023295C00000000316665,55.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 1G/1G,Fixed,F0030023295C00000000316670,269.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 100M/100M,Fixed,F0030023295C00000000316671,109.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 2G/2G,Fixed,F0030023295C00000000316676,299.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,2083.36 Mbps,2017.41 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet  125M/ 25M Asymmetrical Internet Access,Fixed,F0030023295C00000000316691,129.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 50M/50M,Fixed,F0030023295C00000000316692,79.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,54.70 Mbps,54.27 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 300M/300M,Fixed,F0030023295C00000000316722,139.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,301.93 Mbps,302.17 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 2G/2G,Fixed,F0030023295C00000000316729,339.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,2083.36 Mbps,2017.41 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 500M/500M,Fixed,F0030023295C00000000317072,239.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.20 Mbps,510.43 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Email Reservation,Fixed,F0030023295C00000000317413,15.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 100M/100M,Fixed,F0030023295C00000000317579,79.95,Yes,79.95,12,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 1G/1G Internet Access,Fixed,F0030023295C00000000317643,50.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet  300M/ 65M Asymmetrical Internet Access,Fixed,F0030023295C00000000317655,99.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 5G/5G,Fixed,F0030023295C00000000317791,369.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,4982.19 Mbps,4955.16 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 2G/2G,Fixed,F0030023295C00000000317832,319.95,No,NULL,NULL,Yes,24,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,2083.36 Mbps,2017.41 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 5G/5G,Fixed,F0030023295C00000000317834,389.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,4982.19 Mbps,4955.16 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 5G/5G,Fixed,F0030023295C00000000317835,389.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,4982.19 Mbps,4955.16 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 300M/300M,Fixed,F0030023295C00000000317841,129.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,New Installation Charge,150.00,(Optional) Billing Fee,4.95,Varies by location,NULL,301.93 Mbps,302.17 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 5G/5G,Fixed,F0030023295C00000000317842,349.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,4982.19 Mbps,4955.16 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 500M/500M,Fixed,F0030023295C00000000317868,199.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,New Installation Charge,150.00,(Optional) Billing Fee,4.95,Varies by location,NULL,505.20 Mbps,510.43 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 1G/1G,Fixed,F0030023295C00000000317884,249.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,New Installation Charge,150.00,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 1G/1G Internet Access,Fixed,F0030023295C00000000317896,150.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet  225M/ 25M Asymmetrical Internet Access,Fixed,F0030023295C00000000317929,199.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 100M/100M,Fixed,F0030023295C00000000318092,99.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,New Installation Charge,150.00,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 100M/100M Internet Access,Fixed,F0030023295C00000000318115,40.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 2G/2G,Fixed,F0030023295C00000000318175,299.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,New Installation Charge,150.00,(Optional) Billing Fee,4.95,Varies by location,NULL,2083.36 Mbps,2017.41 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet  300M/ 65M Asymmetrical Internet Access,Fixed,F0030023295C00000000318663,129.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 300M/300M Internet Access,Fixed,F0030023295C00000000318717,100.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk  200M/ 75M Internet Access,Fixed,F0030023295C00000000318784,9999.99,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 500M/500M Internet Access,Fixed,F0030023295C00000000318817,140.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.2 Mbps,510.48 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Essential 100M/100M,Fixed,F0030023295C00000000319054,79.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Essential 100M/100M,Fixed,F0030023295C00000000319055,74.95,No,NULL,NULL,Yes,60,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
